                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0946,                 4.5043,                 1.4309,                 0.5978,                0.04175,                0.02048,                0.00574,                 2.7405,                 3.6345,                  1.321,              0.0032787,              0.0032787,              0.0032787
                      2,                 2.7345,                 3.2302,                 1.2314,                0.04142,                0.15338,                0.03278,                0.00953,                  2.608,                 3.1244,                 1.1702,              0.0066087,              0.0066087,              0.0066087
                      3,                 2.7386,                  3.035,                 1.2332,                0.22612,                0.02881,                0.02925,                 0.0084,                 2.8006,                 3.2182,                 1.2005,              0.0099355,              0.0099355,              0.0099355
                      4,                 2.7615,                 2.9673,                  1.213,                0.22896,                 0.0755,                0.02592,                 0.0075,                 3.0787,                 2.8951,                  1.552,              0.0099851,              0.0099851,              0.0099851
                      5,                 2.6832,                  2.887,                 1.1966,                0.23189,                 0.0836,                0.03736,                0.01252,                 2.6351,                 3.0646,                 1.1853,              0.0099802,              0.0099802,              0.0099802
                      6,                 2.6509,                 2.7256,                 1.1844,                0.11317,                0.12394,                0.05392,                0.01514,                 2.6748,                 2.8266,                 1.1961,              0.0099753,              0.0099753,              0.0099753
                      7,                 2.6132,                 2.6816,                 1.1751,                 0.1167,                 0.1515,                0.06558,                 0.0202,                  2.547,                 2.7196,                 1.2057,              0.0099703,              0.0099703,              0.0099703
                      8,                 2.5741,                 2.6011,                 1.1794,                0.14444,                 0.1656,                0.06908,                0.01959,                 2.5897,                 2.6032,                 1.2375,              0.0099654,              0.0099654,              0.0099654
                      9,                 2.5834,                 2.5964,                 1.1675,                 0.0921,                0.09212,                0.05116,                0.01559,                 2.6742,                 2.8908,                 1.2196,              0.0099604,              0.0099604,              0.0099604
                     10,                 2.5647,                 2.5135,                 1.1694,                 0.1443,                0.11068,                0.06586,                0.02183,                 2.5103,                 2.6411,                 1.1697,              0.0099555,              0.0099555,              0.0099555
                     11,                  2.494,                 2.4896,                 1.1413,                0.13778,                0.12582,                 0.0762,                0.02628,                 2.4791,                 2.8185,                 1.1731,              0.0099505,              0.0099505,              0.0099505
                     12,                 2.5481,                 2.4777,                 1.1554,                0.13432,                0.15819,                0.07791,                0.02617,                 2.4782,                  2.721,                 1.1694,              0.0099456,              0.0099456,              0.0099456
                     13,                 2.5215,                 2.4517,                 1.1555,                0.17542,                0.14422,                0.07239,                0.02508,                 2.4812,                 2.6235,                 1.1782,              0.0099406,              0.0099406,              0.0099406
                     14,                 2.4985,                 2.3835,                 1.1536,                0.14081,                0.21783,                0.09489,                0.03036,                 2.4951,                 2.9486,                 1.2082,              0.0099357,              0.0099357,              0.0099357
                     15,                 2.4954,                 2.3782,                 1.1557,                 0.1193,                0.14595,                0.07427,                0.02254,                 2.6159,                 2.6322,                 1.2046,              0.0099307,              0.0099307,              0.0099307
                     16,                 2.4793,                 2.3582,                 1.1459,                0.17014,                0.11771,                0.08594,                0.02996,                 2.4179,                 2.6858,                 1.1449,              0.0099258,              0.0099258,              0.0099258
                     17,                 2.4646,                 2.3463,                 1.1338,                0.16316,                0.17443,                0.09553,                0.03182,                 2.4407,                 2.5079,                 1.1626,              0.0099208,              0.0099208,              0.0099208
                     18,                 2.4755,                 2.3098,                 1.1544,                0.12109,                0.18063,                0.08224,                0.02737,                 2.4514,                 2.5381,                 1.1738,              0.0099159,              0.0099159,              0.0099159
                     19,                 2.5008,                 2.3273,                  1.137,                0.12334,                0.17783,                0.08303,                0.02876,                 2.4591,                 2.4905,                 1.1727,              0.0099109,              0.0099109,              0.0099109
                     20,                 2.4631,                 2.2981,                 1.1358,                0.31857,                0.15926,                0.09627,                0.03438,                 2.4688,                 2.4743,                 1.1772,               0.009906,               0.009906,               0.009906
                     21,                 2.4531,                 2.2514,                 1.1359,                0.16165,                0.18703,                0.09287,                0.03057,                 2.4102,                 2.5499,                 1.1554,               0.009901,               0.009901,               0.009901
                     22,                 2.4553,                 2.2784,                 1.1276,                0.12603,                0.13884,                0.08144,                0.02839,                 2.4446,                  2.472,                 1.1499,              0.0098961,              0.0098961,              0.0098961
                     23,                 2.4415,                 2.2538,                 1.1238,                0.16709,                 0.1654,                 0.0878,                0.03074,                 2.4447,                 2.5421,                 1.1831,              0.0098911,              0.0098911,              0.0098911
                     24,                  2.424,                   2.22,                 1.1232,                0.17228,                0.18459,                0.10898,                0.03719,                 2.5262,                 2.4925,                 1.2055,              0.0098861,              0.0098861,              0.0098861
                     25,                 2.4403,                  2.272,                 1.1402,                 0.2164,                0.19232,                0.10218,                0.03073,                 2.4278,                 2.7661,                 1.1741,              0.0098812,              0.0098812,              0.0098812
                     26,                 2.4273,                  2.179,                 1.1428,                0.19337,                0.18449,                0.10735,                0.03657,                 2.4157,                 2.3789,                  1.151,              0.0098763,              0.0098763,              0.0098763
                     27,                 2.4302,                 2.2084,                  1.118,                0.16361,                0.18632,                0.10445,                0.03517,                 2.4271,                 2.5972,                 1.1616,              0.0098713,              0.0098713,              0.0098713
                     28,                 2.4114,                 2.1778,                 1.1354,                0.17109,                0.15706,                0.09611,                 0.0316,                 2.4503,                 2.4588,                 1.1609,              0.0098664,              0.0098664,              0.0098664
                     29,                 2.4143,                 2.1433,                 1.1361,                0.18666,                0.17096,                0.10774,                0.03548,                 2.4587,                 2.3842,                  1.181,              0.0098614,              0.0098614,              0.0098614
                     30,                 2.4281,                 2.1532,                 1.1325,                0.12952,                0.15069,                0.09084,                0.03194,                  2.485,                 2.5407,                 1.1663,              0.0098565,              0.0098565,              0.0098565
                     31,                 2.3938,                 2.1261,                 1.1336,                0.14603,                0.16608,                0.09016,                 0.0278,                  2.459,                 2.4725,                 1.1643,              0.0098515,              0.0098515,              0.0098515
                     32,                  2.402,                 2.1523,                 1.1132,                0.16182,                0.19636,                0.10413,                  0.036,                 2.3849,                 2.3788,                 1.1493,              0.0098466,              0.0098466,              0.0098466
                     33,                 2.3967,                 2.1162,                 1.1318,                0.23801,                0.17451,                0.11134,                0.03642,                 2.4778,                 2.4271,                 1.2018,              0.0098416,              0.0098416,              0.0098416
                     34,                 2.4078,                 2.1412,                 1.1158,                0.16495,                0.16173,                0.09818,                0.03169,                  2.444,                 2.4352,                 1.1479,              0.0098367,              0.0098367,              0.0098367
                     35,                 2.3835,                 2.1063,                 1.1298,                0.15984,                0.17217,                0.10323,                0.03449,                 2.4393,                 2.4069,                 1.1809,              0.0098317,              0.0098317,              0.0098317
                     36,                 2.4053,                 2.0878,                 1.1209,                0.19567,                0.20048,                0.09314,                0.02987,                 2.5017,                 2.6142,                 1.1875,              0.0098268,              0.0098268,              0.0098268
                     37,                 2.3718,                 2.0892,                 1.1271,                0.16654,                0.18944,                0.09773,                0.03211,                  2.513,                 2.4595,                  1.185,              0.0098218,              0.0098218,              0.0098218
                     38,                 2.3912,                 2.0874,                 1.1227,                0.14654,                0.20873,                0.10032,                 0.0323,                 2.4702,                 2.5077,                 1.1711,              0.0098169,              0.0098169,              0.0098169
                     39,                  2.376,                  2.069,                 1.1087,                0.17924,                0.17947,                0.10757,                0.03546,                 2.4404,                 2.3977,                 1.1789,              0.0098119,              0.0098119,              0.0098119
                     40,                 2.3574,                 2.0567,                 1.1163,                0.13816,                0.15955,                 0.0899,                0.03081,                 2.4615,                 2.4882,                 1.1519,               0.009807,               0.009807,               0.009807
                     41,                 2.3706,                 2.0664,                 1.1183,                0.14309,                0.20255,                0.10394,                0.03441,                 2.4953,                 2.4104,                 1.1713,               0.009802,               0.009802,               0.009802
                     42,                 2.3849,                 2.0775,                 1.1155,                0.20273,                0.18224,                0.11068,                0.03597,                 2.4587,                 2.4049,                 1.1808,               0.009797,               0.009797,               0.009797
                     43,                 2.3826,                 2.0484,                  1.109,                0.15663,                0.18934,                0.09678,                0.02966,                 2.5658,                 2.5398,                 1.1952,              0.0097921,              0.0097921,              0.0097921
                     44,                 2.3678,                 2.0409,                  1.137,                0.15487,                0.17739,                 0.0993,                0.03408,                 2.4872,                 2.4311,                 1.1822,              0.0097871,              0.0097871,              0.0097871
                     45,                 2.3503,                 2.0164,                 1.1041,                0.19744,                0.21671,                0.13229,                0.04239,                 2.5117,                   2.34,                 1.1837,              0.0097822,              0.0097822,              0.0097822
                     46,                 2.3264,                 1.9768,                 1.1137,                0.23954,                0.14977,                0.09494,                0.02849,                 2.5319,                 2.5163,                 1.1765,              0.0097773,              0.0097773,              0.0097773
                     47,                 2.3394,                 2.0038,                 1.1186,                0.14117,                0.21622,                0.09792,                0.03114,                 2.4446,                 2.5269,                 1.1527,              0.0097723,              0.0097723,              0.0097723
                     48,                 2.3464,                 2.0052,                 1.1024,                0.14839,                0.22752,                0.11621,                0.03773,                 2.4883,                 2.3432,                 1.1526,              0.0097674,              0.0097674,              0.0097674
                     49,                 2.3462,                 1.9926,                 1.0961,                0.18389,                0.13656,                  0.082,                0.02528,                  2.598,                 2.6812,                 1.1996,              0.0097624,              0.0097624,              0.0097624
                     50,                 2.3292,                 1.9733,                 1.1051,                0.11615,                0.17251,                0.09097,                 0.0295,                 2.4978,                 2.5205,                 1.1579,              0.0097575,              0.0097575,              0.0097575
                     51,                 2.3042,                 1.9397,                 1.1015,                0.16047,                0.20648,                0.10325,                 0.0338,                 2.5411,                 2.4143,                 1.1926,              0.0097525,              0.0097525,              0.0097525
                     52,                 2.3212,                  1.989,                 1.0912,                0.12062,                0.18378,                0.08028,                0.02576,                 2.5563,                 2.5499,                 1.1843,              0.0097476,              0.0097476,              0.0097476
                     53,                 2.3287,                 1.9937,                 1.1015,                 0.1649,                0.21021,                0.11137,                0.03808,                 2.4896,                 2.3746,                 1.1924,              0.0097426,              0.0097426,              0.0097426
                     54,                 2.3086,                 1.9381,                 1.1027,                0.20188,                0.18311,                0.10788,                0.03431,                 2.5663,                  2.438,                 1.1784,              0.0097377,              0.0097377,              0.0097377
                     55,                 2.2947,                 1.9408,                 1.0996,                0.16467,                0.17793,                0.11464,                0.03977,                 2.4931,                 2.5218,                 1.1754,              0.0097327,              0.0097327,              0.0097327
                     56,                 2.3525,                 1.9863,                 1.0937,                0.13521,                0.18014,                0.10097,                0.03383,                 2.4638,                 2.4442,                  1.171,              0.0097278,              0.0097278,              0.0097278
                     57,                 2.2967,                 1.9236,                  1.097,                0.18227,                0.19434,                0.10039,                0.03386,                 2.4541,                 2.4323,                 1.1573,              0.0097228,              0.0097228,              0.0097228
