                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
97,2.4721,1.96,0.98502,0.12895,0.16545,0.09505,0.03011,2.6299,2.3685,1.0253,0.0095248,0.0095248,0.0095248
124,2.3913,1.8343,0.97298,0.15363,0.16044,0.09504,0.02909,2.6877,2.4007,1.0279,0.0093912,0.0093912,0.0093912
226,2.1761,1.4947,0.93968,0.15326,0.20211,0.09487,0.02929,2.7823,2.4357,1.0464,0.0088863,0.0088863,0.0088863
200,2.2559,1.6273,0.94305,0.15476,0.16633,0.09484,0.02811,2.7128,2.3902,1.0513,0.0090149,0.0090149,0.0090149
81,2.5501,2.0474,0.98491,0.17318,0.19729,0.09478,0.03001,2.5955,2.3404,1.0126,0.009604,0.009604,0.009604
144,2.3767,1.7543,0.96237,0.13831,0.18824,0.09476,0.02837,2.7504,2.4027,1.0463,0.0092922,0.0092922,0.0092922
192,2.2738,1.6375,0.95601,0.15116,0.17922,0.0947,0.02911,2.713,2.4067,1.0427,0.0090545,0.0090545,0.0090545
244,2.1616,1.4876,0.93306,0.16701,0.17182,0.09468,0.02836,2.7179,2.3773,1.0368,0.0087972,0.0087972,0.0087972
138,2.4007,1.8369,0.96212,0.16657,0.16405,0.0943,0.03137,2.6278,2.4019,1.0267,0.0093219,0.0093219,0.0093219
239,2.1875,1.5058,0.93431,0.13764,0.16167,0.09427,0.02836,2.7382,2.4087,1.0532,0.0088219,0.0088219,0.0088219
154,2.3681,1.7974,0.95387,0.14003,0.19924,0.09395,0.02818,2.6634,2.3848,1.0194,0.0092426,0.0092426,0.0092426
257,2.1489,1.4779,0.92236,0.13679,0.17317,0.09394,0.02807,2.7131,2.4068,1.0509,0.0087328,0.0087328,0.0087328
185,2.2741,1.6077,0.95161,0.13969,0.18862,0.09392,0.0287,2.6857,2.347,1.041,0.0090892,0.0090892,0.0090892
230,2.2079,1.53,0.93423,0.17082,0.18478,0.09391,0.02831,2.7388,2.4284,1.0373,0.0088664,0.0088664,0.0088664
93,2.4921,1.9523,0.99253,0.12809,0.19818,0.09385,0.02979,2.6671,2.3949,1.0285,0.0095446,0.0095446,0.0095446
193,2.2786,1.6162,0.94901,0.13426,0.15677,0.09385,0.02887,2.7321,2.4267,1.0344,0.0090496,0.0090496,0.0090496
214,2.2349,1.5627,0.94701,0.16127,0.17862,0.09363,0.02891,2.6847,2.3699,1.0284,0.0089456,0.0089456,0.0089456
114,2.4371,1.9135,0.96807,0.15267,0.16618,0.09361,0.02879,2.6493,2.4108,1.0087,0.0094407,0.0094407,0.0094407
137,2.3936,1.7924,0.96424,0.13138,0.16556,0.09356,0.0287,2.6365,2.3751,1.0226,0.0093268,0.0093268,0.0093268
229,2.2095,1.5406,0.93126,0.16122,0.18116,0.09314,0.02779,2.7086,2.4526,1.0317,0.0088714,0.0088714,0.0088714
141,2.4112,1.832,0.95718,0.14381,0.18097,0.093,0.02987,2.6805,2.3606,1.0354,0.009307,0.009307,0.009307
199,2.2908,1.6303,0.94144,0.16529,0.1468,0.093,0.02848,2.7294,2.3685,1.0457,0.0090199,0.0090199,0.0090199
162,2.3584,1.7213,0.96521,0.17012,0.167,0.09295,0.02887,2.6801,2.3402,1.0355,0.0092031,0.0092031,0.0092031
