                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2046,                 5.5313,                 1.2507,                      0,                      0,                      0,                      0,                 3.7079,                 6.2332,                 1.0908,              0.0032787,              0.0032787,              0.0032787
                      2,                  4.144,                 4.1667,                 1.0854,                 0.5127,                0.00373,                0.00291,                0.00088,                 4.2709,                   3.64,                 1.0429,              0.0066087,              0.0066087,              0.0066087
                      3,                 4.0825,                 3.4509,                 1.0595,                0.00476,                0.04448,                0.00541,                0.00121,                 4.1346,                 3.9621,                 1.0636,              0.0099355,              0.0099355,              0.0099355
                      4,                 4.1314,                 3.3524,                  1.034,                0.20325,                0.02576,                0.00587,                0.00124,                 4.1228,                 3.1236,                 1.0713,              0.0099851,              0.0099851,              0.0099851
                      5,                 4.0261,                 3.2099,                 1.0294,                0.01552,                0.01889,                0.00359,                  0.001,                 4.1293,                  4.046,                 1.0252,              0.0099802,              0.0099802,              0.0099802
                      6,                  3.943,                 3.1873,                0.97714,                0.19893,                0.01167,                0.00868,                 0.0026,                 3.9171,                 3.1326,                0.96606,              0.0099753,              0.0099753,              0.0099753
                      7,                   3.91,                 3.0565,                0.98267,                0.22307,                0.02739,                0.01035,                0.00236,                 3.8283,                  2.978,                 0.9696,              0.0099703,              0.0099703,              0.0099703
                      8,                  3.766,                 3.0054,                0.96155,                 0.2015,                0.04894,                0.01304,                0.00289,                  3.715,                 3.0775,                0.95981,              0.0099654,              0.0099654,              0.0099654
                      9,                 3.8046,                 3.0259,                0.95926,                0.20664,                0.02322,                 0.0113,                0.00287,                 3.9856,                 3.0091,                0.98112,              0.0099604,              0.0099604,              0.0099604
                     10,                   3.75,                 2.9609,                0.94948,                0.22336,                0.04708,                0.01664,                0.00339,                  3.792,                 3.0109,                0.95601,              0.0099555,              0.0099555,              0.0099555
                     11,                 3.6964,                 2.9228,                0.94181,                0.19243,                0.04065,                0.01153,                0.00308,                 3.7984,                 3.5166,                 0.9393,              0.0099505,              0.0099505,              0.0099505
                     12,                 3.7316,                 2.9565,                0.95131,                0.20241,                0.03109,                0.01185,                0.00318,                 3.7783,                 2.9229,                0.92807,              0.0099456,              0.0099456,              0.0099456
                     13,                 3.6529,                   2.87,                0.94635,                0.20914,                0.04321,                0.01685,                0.00401,                 3.6269,                 2.8724,                0.93193,              0.0099406,              0.0099406,              0.0099406
                     14,                 3.5584,                 2.8065,                0.92493,                0.21863,                0.04814,                0.01485,                0.00371,                 3.7573,                 2.9103,                  0.947,              0.0099357,              0.0099357,              0.0099357
                     15,                 3.6117,                  2.836,                0.92971,                0.21781,                0.02114,                0.01212,                0.00267,                 3.8576,                 2.8046,                0.92462,              0.0099307,              0.0099307,              0.0099307
                     16,                 3.5728,                 2.7978,                0.93092,                0.24189,                0.03234,                0.02412,                0.00605,                 3.5192,                 2.7523,                0.91829,              0.0099258,              0.0099258,              0.0099258
                     17,                 3.5274,                 2.8357,                0.91969,                0.21508,                0.02612,                0.01509,                0.00382,                 3.6646,                 2.7771,                0.92378,              0.0099208,              0.0099208,              0.0099208
                     18,                 3.5348,                 2.7488,                0.92661,                 0.2104,                0.04045,                0.01727,                0.00498,                 3.5094,                 2.8946,                0.90925,              0.0099159,              0.0099159,              0.0099159
                     19,                 3.5564,                 2.8049,                0.92419,                0.25244,                0.04721,                0.01714,                0.00388,                 3.5408,                 2.7583,                0.91292,              0.0099109,              0.0099109,              0.0099109
                     20,                 3.4786,                 2.7558,                0.92002,                0.21871,                0.03216,                0.02053,                0.00627,                  3.394,                 2.6834,                0.91423,               0.009906,               0.009906,               0.009906
                     21,                 3.5034,                 2.7335,                0.92069,                0.20674,                0.04802,                0.01276,                0.00312,                 3.6441,                 2.9535,                0.90805,               0.009901,               0.009901,               0.009901
                     22,                 3.4812,                 2.7717,                0.91127,                0.39104,                0.05556,                0.01915,                0.00474,                 3.4914,                 2.9258,                0.90788,              0.0098961,              0.0098961,              0.0098961
                     23,                 3.4523,                 2.7323,                0.91688,                0.37564,                0.05286,                0.02262,                0.00614,                 3.3928,                 2.7247,                 0.9039,              0.0098911,              0.0098911,              0.0098911
                     24,                 3.4627,                 2.7356,                0.90696,                0.24169,                0.04864,                0.02726,                0.00735,                 3.2891,                 2.7365,                0.89968,              0.0098861,              0.0098861,              0.0098861
                     25,                 3.4431,                 2.7535,                0.92518,                0.21097,                0.04519,                0.02461,                0.00653,                 3.3278,                  2.721,                0.90738,              0.0098812,              0.0098812,              0.0098812
                     26,                 3.3817,                 2.6822,                0.91076,                0.22426,                0.05343,                0.02324,                0.00647,                 3.3161,                 2.6132,                0.89845,              0.0098763,              0.0098763,              0.0098763
                     27,                 3.3802,                 2.6957,                 0.9081,                0.23146,                0.04042,                0.01878,                0.00428,                 3.5532,                  2.714,                0.91029,              0.0098713,              0.0098713,              0.0098713
                     28,                 3.3762,                  2.702,                0.91494,                0.21056,                0.04543,                0.01781,                0.00409,                 3.5304,                 2.7694,                0.90497,              0.0098664,              0.0098664,              0.0098664
                     29,                 3.4224,                 2.7074,                0.91748,                0.06614,                0.05935,                0.02112,                0.00543,                 3.5112,                 2.7045,                0.90657,              0.0098614,              0.0098614,              0.0098614
                     30,                 3.4586,                 2.7069,                0.92174,                 0.2058,                0.05724,                0.02078,                0.00556,                 3.3366,                 2.8162,                0.89712,              0.0098565,              0.0098565,              0.0098565
                     31,                 3.3941,                 2.6599,                0.92746,                 0.2218,                  0.057,                0.02407,                0.00628,                 3.2688,                 2.6734,                0.89043,              0.0098515,              0.0098515,              0.0098515
